model,threshold,roc_auc,pr_auc,precision,recall_sensitivity,specificity,f1,brier_score,tn,fp,fn,tp
Logistic_Regression_baseline_val,0.5,0.7051856681861615,0.164364243938411,0.1309090909090909,0.5853658536585366,0.7409682080924855,0.2139673105497771,0.1982977033965776,4102,1434,153,216
Logistic_Regression_baseline_test,0.5,0.7190399937509764,0.1671781167878553,0.1336996336996337,0.5918918918918918,0.7436777456647399,0.2181274900398406,0.1932845873053034,4117,1419,151,219
Decision_Tree_val,0.5,0.6733046665726773,0.1488815286940763,0.1180709534368071,0.5772357723577236,0.7126083815028902,0.1960423377818684,0.1948338803244828,3945,1591,156,213
Random_Forest_val,0.5,0.7034855373842757,0.1798609502091367,0.21875,0.1517615176151761,0.963872832369942,0.1792,0.1044080400955174,5336,200,313,56
XGBoost_val,0.5,0.70103030961668,0.1941469134733182,0.217910447761194,0.1978319783197832,0.9526734104046244,0.2073863636363636,0.0779016073521518,5274,262,296,73
LightGBM_val,0.5,0.7108108346256873,0.2073768645502916,0.2186878727634194,0.2981029810298103,0.9290101156069364,0.2522935779816513,0.0877715582758552,5143,393,259,110
CatBoost_val,0.5,0.7227753888810565,0.1900428507849464,0.1681195516811955,0.3658536585365853,0.8793352601156069,0.2303754266211604,0.1180365331089039,4868,668,234,135
LightGBM_tuned_val,0.5,0.7609801134138509,0.2396824706812918,0.17974180734856,0.4905149051490515,0.8507947976878613,0.2630813953488372,0.1268663578509498,4710,826,188,181
CatBoost_tuned_val,0.5,0.7394149356955997,0.2188908663238305,0.2177554438860971,0.3523035230352303,0.915643063583815,0.2691511387163561,0.1033972872744571,5069,467,239,130
LSTM_val,0.5,0.6639943332236791,0.1200599174955305,0.1031780583369612,0.6422764227642277,0.6278901734104047,0.177794448612153,0.2323563572130997,3476,2060,132,237
LightGBM_tuned_FINAL_TEST,0.4,0.7558633416653648,0.2455824218712922,0.1480026195153896,0.6108108108108108,0.764992774566474,0.2382709541381128,0.1246417324190311,4235,1301,144,226
LightGBM_tuned_isotonic_FINAL_TEST,0.1,0.7532824461021715,0.22324366342766205,0.15993404781533388,0.5243243243243243,0.8159320809248555,0.24510423246999366,0.05334039949313438,4517,1019,176,194
